t	p	V	L	psi	z
0.00324	490.417	604.494	0.433445	0.471901	0.471901
0.00325	491.667	610.507	0.43952	0.476567	0.476567
0.00326	492.865	616.534	0.445655	0.481246	0.481246
0.00327	494.011	622.575	0.45185	0.485935	0.485935
0.00328	495.104	628.63	0.458106	0.490635	0.490635
0.00329	496.146	634.699	0.464423	0.495346	0.495346
0.0033	497.135	640.779	0.4708	0.500066	0.500066
0.00331	498.072	646.872	0.477239	0.504795	0.504795
0.00332	498.957	652.975	0.483738	0.509533	0.509533
0.00333	499.79	659.09	0.490298	0.514279	0.514279
0.00334	500.572	665.214	0.49692	0.519032	0.519032
0.00335	501.303	671.347	0.503603	0.523793	0.523793
0.00336	501.982	677.489	0.510347	0.528561	0.528561
0.00337	502.61	683.639	0.517152	0.533334	0.533334
0.00338	503.187	689.796	0.524019	0.538114	0.538114
0.00339	503.715	695.96	0.530948	0.542898	0.542898
0.0034	504.192	702.13	0.537939	0.547688	0.547688
0.00341	504.619	708.306	0.544991	0.552482	0.552482
0.00342	504.997	714.487	0.552105	0.557279	0.557279
0.00343	505.327	720.672	0.559281	0.56208	0.56208
0.00344	505.607	726.861	0.566518	0.566884	0.566884
0.00345	505.84	733.052	0.573818	0.57169	0.57169
0.00346	506.025	739.247	0.581179	0.576499	0.576499
0.00347	506.163	745.443	0.588603	0.581308	0.581308
0.00348	506.254	751.641	0.596088	0.586119	0.586119
0.00349	506.3	757.84	0.603636	0.590931	0.590931
0.00349	506.3	757.84	0.603636	0.590931	0.590931
0.0035	506.299	764.039	0.611245	0.595743	0.595743
0.00351	506.254	770.237	0.618916	0.600554	0.600554
0.00352	506.164	776.435	0.62665	0.605365	0.605365
0.00353	506.03	782.632	0.634445	0.610175	0.610175
0.00354	505.853	788.826	0.642302	0.614983	0.614983
0.00355	505.633	795.018	0.650222	0.61979	0.61979
0.00356	505.371	801.208	0.658203	0.624594	0.624594
0.00357	505.067	807.393	0.666246	0.629395	0.629395
0.00358	504.723	813.575	0.674351	0.634194	0.634194
0.00359	504.339	819.752	0.682517	0.638989	0.638989
0.0036	503.914	825.925	0.690746	0.64378	0.64378
0.00361	503.451	832.091	0.699036	0.648567	0.648567
0.00362	502.95	838.252	0.707387	0.653349	0.653349
0.00363	502.411	844.407	0.715801	0.658126	0.658126
0.00364	501.836	850.555	0.724276	0.662899	0.662899
0.00365	501.224	856.695	0.732812	0.667665	0.667665
0.00366	500.576	862.828	0.741409	0.672425	0.672425
0.00367	499.894	868.953	0.750068	0.677179	0.677179
0.00368	499.178	875.069	0.758788	0.681927	0.681927
0.00369	498.428	881.176	0.76757	0.686667	0.686667
0.0037	497.646	887.274	0.776412	0.691401	0.691401
0.00371	496.831	893.362	0.785315	0.696126	0.696126
0.00372	495.985	899.44	0.794279	0.700844	0.700844
0.00373	495.109	905.507	0.803304	0.705554	0.705554
0.00374	494.202	911.563	0.812389	0.710255	0.710255
0.00375	493.267	917.609	0.821535	0.714947	0.714947
0.00376	492.303	923.642	0.830741	0.71963	0.71963
0.00377	491.311	929.663	0.840008	0.724304	0.724304
0.00378	490.292	935.673	0.849335	0.728969	0.728969
0.00379	489.246	941.669	0.858721	0.733624	0.733624
0.0038	488.175	947.653	0.868168	0.738268	0.738268
0.00381	487.079	953.623	0.877674	0.742902	0.742902
0.00382	485.958	959.58	0.88724	0.747526	0.747526
0.00383	484.813	965.523	0.896866	0.752139	0.752139
0.00384	483.646	971.451	0.906551	0.756741	0.756741
0.00385	482.456	977.366	0.916295	0.761332	0.761332
0.00386	481.244	983.265	0.926098	0.765911	0.765911
0.00387	480.011	989.15	0.93596	0.770479	0.770479
0.00388	478.758	995.019	0.945881	0.775035	0.775035
0.00389	477.485	1000.87	0.95586	0.779579	0.779579
0.0039	476.193	1006.71	0.965898	0.784111	0.784111
0.00391	474.883	1012.53	0.975995	0.78863	0.78863
0.00392	473.554	1018.34	0.986149	0.793137	0.793137
0.00393	472.208	1024.13	0.996361	0.797631	0.797631
0.00394	470.845	1029.9	1.00663	0.802112	0.802112
0.00395	469.467	1035.66	1.01696	0.806581	0.806581
0.00396	468.072	1041.4	1.02734	0.811036	0.811036
0.00397	466.663	1047.12	1.03779	0.815477	0.815477
0.00398	465.239	1052.83	1.04829	0.819906	0.819906
0.00399	463.802	1058.51	1.05884	0.82432	0.82432
0.004	462.351	1064.18	1.06946	0.828721	0.828721
0.00401	460.888	1069.83	1.08013	0.833108	0.833108
0.00402	459.412	1075.47	1.09085	0.837482	0.837482
0.00403	457.925	1081.08	1.10164	0.841841	0.841841
0.00404	456.426	1086.68	1.11248	0.846186	0.846186
0.00405	454.917	1092.26	1.12337	0.850516	0.850516
0.00406	453.398	1097.82	1.13432	0.854832	0.854832
0.00407	451.869	1103.36	1.14533	0.859134	0.859134
0.00408	450.331	1108.89	1.15639	0.863421	0.863421
0.00409	448.784	1114.39	1.1675	0.867694	0.867694
0.0041	447.229	1119.88	1.17868	0.871951	0.871951
0.00411	445.666	1125.34	1.1899	0.876194	0.876194
0.00412	444.096	1130.79	1.20118	0.880422	0.880422
0.00413	442.519	1136.22	1.21252	0.884635	0.884635
0.00414	440.935	1141.62	1.22391	0.888833	0.888833
0.00415	439.345	1147.01	1.23535	0.893016	0.893016
0.00416	437.75	1152.38	1.24685	0.897184	0.897184
0.00417	436.149	1157.73	1.2584	0.901337	0.901337
0.00418	434.544	1163.06	1.27	0.905474	0.905474
0.00419	432.934	1168.37	1.28166	0.909596	0.909596
0.0042	431.32	1173.66	1.29337	0.913703	0.913703
0.00421	429.702	1178.93	1.30513	0.917795	0.917795
0.00422	428.081	1184.19	1.31695	0.921871	0.921871
0.00423	426.456	1189.42	1.32882	0.925931	0.925931
0.00424	424.829	1194.63	1.34074	0.929977	0.929977
0.00425	423.2	1199.82	1.35271	0.934006	0.934006
0.00426	421.569	1204.99	1.36473	0.938021	0.938021
0.00427	419.935	1210.14	1.37681	0.942019	0.942019
0.00428	418.301	1215.27	1.38893	0.946002	0.946002
0.00429	416.665	1220.39	1.40111	0.94997	0.94997
0.0043	415.028	1225.48	1.41334	0.953922	0.953922
0.00431	413.391	1230.55	1.42562	0.957859	0.957859
0.00432	411.754	1235.6	1.43795	0.96178	0.96178
0.00433	410.116	1240.63	1.45033	0.965685	0.965685
0.00434	408.479	1245.64	1.46277	0.969575	0.969575
0.00435	406.842	1250.63	1.47525	0.973449	0.973449
0.00436	405.206	1255.61	1.48778	0.977308	0.977308
0.00437	403.571	1260.56	1.50036	0.981151	0.981151
0.00438	401.937	1265.49	1.51299	0.984979	0.984979
0.00439	400.305	1270.4	1.52567	0.988791	0.988791
0.0044	398.674	1275.29	1.5384	0.992588	0.992588
0.00441	397.045	1280.16	1.55117	0.996369	0.996369
0.00442	395.062	1285.01	1.564	0.999508	0.999508
0.00443	392.381	1289.83	1.57687	1.00138	1.00138
0.00444	388.684	1294.62	1.5898	1.00138	1.00138
0.00445	385.036	1299.35	1.60277	1.00138	1.00138
0.00446	381.435	1304.04	1.61578	1.00138	1.00138
0.00447	377.882	1308.69	1.62885	1.00138	1.00138
0.00448	374.375	1313.3	1.64196	1.00138	1.00138
0.00449	370.915	1317.86	1.65511	1.00138	1.00138
0.0045	367.499	1322.38	1.66831	1.00138	1.00138
0.00451	364.128	1326.86	1.68156	1.00138	1.00138
0.00452	360.801	1331.3	1.69485	1.00138	1.00138
0.00453	357.517	1335.7	1.70819	1.00138	1.00138
0.00454	354.275	1340.05	1.72157	1.00138	1.00138
0.00455	351.076	1344.37	1.73499	1.00138	1.00138
0.00456	347.918	1348.65	1.74845	1.00138	1.00138
0.00457	344.8	1352.89	1.76196	1.00138	1.00138
0.00458	341.723	1357.09	1.77551	1.00138	1.00138
0.00459	338.685	1361.26	1.7891	1.00138	1.00138
0.0046	335.686	1365.39	1.80274	1.00138	1.00138
0.00461	332.726	1369.48	1.81641	1.00138	1.00138
